date,contract_month,future,index,basis,days_to_expiry
2021-01-04,202101,14873,14902.03,-29.030000000000655,16
2021-01-05,202101,14976,15000.03,-24.030000000000655,15
2021-01-06,202101,14911,14983.13,-72.1299999999992,14
2021-01-07,202101,15226,15214,12,13
2021-01-08,202101,15451,15463.95,-12.950000000000728,12
2021-01-11,202101,15531,15557.3,-26.299999999999272,9
2021-01-12,202101,15489,15500.7,-11.700000000000728,8
2021-01-13,202101,15759,15769.98,-10.979999999999563,7
2021-01-14,202101,15727,15707.19,19.80999999999949,6
2021-01-15,202101,15632,15616.39,15.610000000000582,5
2021-01-18,202101,15608,15612,-4,2
2021-01-19,202101,15888,15877.37,10.6299999999992,1
2021-01-20,202101,15766,15806.18,-40.18000000000029,0
2021-01-21,202102,16125,16153.77,-28.770000000000437,27
2021-01-22,202102,15977,16019.03,-42.030000000000655,26
2021-01-25,202102,15911,15946.54,-35.54000000000087,23
2021-01-26,202102,15628,15658.85,-30.850000000000364,22
2021-01-27,202102,15657,15701.45,-44.45000000000073,21
2021-01-28,202102,15382,15415.88,-33.8799999999992,20
2021-01-29,202102,15070,15138.31,-68.30999999999949,19
2021-02-01,202102,15362,15410.09,-48.090000000000146,16
2021-02-02,202102,15752,15760.05,-8.049999999999272,15
2021-02-03,202102,15773,15771.32,1.680000000000291,14
2021-02-04,202102,15696,15706.22,-10.219999999999345,13
2021-02-05,202102,15802,15802.4,-0.3999999999996362,12
2021-02-17,202102,16326,16362.29,-36.29000000000087,0
2021-02-18,202103,16380,16424.51,-44.5099999999984,27
2021-02-19,202103,16309,16341.38,-32.3799999999992,26
2021-02-22,202103,16382,16410.16,-28.159999999999854,23
2021-02-23,202103,16434,16443.4,-9.400000000001455,22
2021-02-24,202103,16181,16212.53,-31.530000000000655,21
2021-02-25,202103,16387,16452.18,-65.18000000000029,20
2021-02-26,202103,15931,15953.8,-22.799999999999272,19
2021-03-02,202103,15904,15946.88,-42.8799999999992,15
2021-03-03,202103,16179,16211.73,-32.72999999999956,14
2021-03-04,202103,15922,15906.41,15.590000000000146,13
2021-03-05,202103,15847,15855.23,-8.229999999999563,12
2021-03-08,202103,15819,15820.11,-1.110000000000582,9
2021-03-09,202103,15822,15853.09,-31.090000000000146,8
2021-03-10,202103,15885,15911.67,-26.670000000000073,7
2021-03-11,202103,16169,16179.56,-10.55999999999949,6
2021-03-12,202103,16223,16255.18,-32.18000000000029,5
2021-03-15,202103,16199,16249.33,-50.32999999999993,2
2021-03-16,202103,16305,16313.16,-8.159999999999854,1
2021-03-17,202103,16176,16215.82,-39.81999999999971,0
2021-03-18,202104,16235,16287.84,-52.840000000000146,34
2021-03-19,202104,16010,16070.24,-60.23999999999978,33
2021-03-22,202104,16137,16189.22,-52.219999999999345,30
2021-03-23,202104,16119,16177.59,-58.590000000000146,29
2021-03-24,202104,15981,16032.12,-51.1200000000008,28
2021-03-25,202104,16030,16060.14,-30.139999999999418,27
2021-03-26,202104,16285,16305.88,-20.8799999999992,26
2021-03-29,202104,16408,16475.97,-67.97000000000116,23
2021-03-30,202104,16520,16554.9,-34.900000000001455,22
2021-03-31,202104,16423,16431.13,-8.130000000001019,21
2021-04-01,202104,16549,16571.28,-22.279999999998836,20
2021-04-06,202104,16728,16739.87,-11.869999999998981,15
2021-04-07,202104,16767,16815.36,-48.36000000000058,14
2021-04-08,202104,16927,16926.44,0.5600000000013097,13
2021-04-09,202104,16839,16854.1,-15.099999999998545,12
2021-04-12,202104,16835,16859.7,-24.700000000000728,9
2021-04-13,202104,16793,16824.91,-31.909999999999854,8
2021-04-14,202104,16857,16865.97,-8.970000000001164,7
2021-04-15,202104,17069,17076.73,-7.729999999999563,6
2021-04-16,202104,17156,17158.81,-2.8100000000013097,5
2021-04-19,202104,17269,17263.28,5.720000000001164,2
2021-04-20,202104,17320,17323.87,-3.8699999999989814,1
2021-04-21,202104,17231,17202.11,28.889999999999418,0
2021-04-22,202105,17106,17096.97,9.029999999998836,27
2021-04-23,202105,17255,17300.27,-45.27000000000044,26
2021-04-26,202105,17526,17572.29,-46.29000000000087,23
2021-04-27,202105,17570,17595.9,-25.900000000001455,22
2021-04-28,202105,17533,17567.53,-34.529999999998836,21
2021-04-29,202105,17569,17566.66,2.3400000000001455,20
