date,contract_month,roll_day,open,high,low,close,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,open_interest
2020-01-02,202001,false,12044,12120,12023,12101,8418,8494,8397,8475,100401,87608
2020-01-03,202001,false,12180,12198,11996,12087,8554,8572,8370,8461,172660,85123
2020-01-06,202001,false,12017,12034,11948,11949,8391,8408,8322,8323,118380,86049
2020-01-07,202001,false,11995,12009,11816,11871,8369,8383,8190,8245,157264,82993
2020-01-08,202001,false,11728,11892,11697,11788,8102,8266,8071,8162,158971,81175
2020-01-09,202001,false,11919,11998,11883,11969,8293,8372,8257,8343,115014,80949
2020-01-10,202001,false,12005,12042,11953,12011,8379,8416,8327,8385,114171,72684
2020-01-13,202001,false,12085,12121,12044,12116,8459,8495,8418,8490,142642,58810
2020-01-14,202002,true,12156,12171,12122,12155,8556,8571,8522,8555,37503,61784
2020-01-15,202002,false,12139,12148,12042,12054,8539,8548,8442,8454,65151,76515
2020-01-16,202002,false,12040,12078,11990,12052,8440,8478,8390,8452,106272,78587
2020-01-17,202002,false,12103,12118,12029,12071,8503,8518,8429,8471,101199,77466
2020-01-20,202002,false,12119,12160,12097,12111,8519,8560,8497,8511,77557,77182
2020-01-30,202002,false,11770,11798,11366,11372,8170,8198,7766,7772,248664,86323
2020-01-31,202002,false,11460,11567,11407,11469,7860,7967,7807,7869,154361,84049
2020-02-03,202002,false,11285,11370,11152,11324,7685,7770,7552,7724,206381,84916
2020-02-04,202002,false,11373,11557,11362,11534,7773,7957,7762,7934,145462,81907
2020-02-05,202002,false,11603,11620,11474,11542,8003,8020,7874,7942,155144,80299
2020-02-06,202002,false,11651,11744,11628,11739,8051,8144,8028,8139,122911,81655
2020-02-07,202002,false,11660,11666,11566,11589,8060,8066,7966,7989,125747,76980
2020-02-10,202002,false,11455,11598,11402,11565,7855,7998,7802,7965,147183,77151
2020-02-11,202002,false,11625,11689,11613,11664,8025,8089,8013,8064,92406,75559
2020-02-12,202002,false,11663,11797,11647,11770,8063,8197,8047,8170,105501,79401
2020-02-13,202002,false,11798,11837,11762,11775,8198,8237,8162,8175,110031,77110
2020-02-14,202002,false,11757,11852,11755,11810,8157,8252,8155,8210,102988,72508
2020-02-17,202002,false,11710,11792,11702,11769,8110,8192,8102,8169,109882,56156
2020-02-18,202003,true,11699,11699,11610,11629,8110,8110,8021,8040,46058,65152
2020-02-19,202003,false,11657,11787,11621,11763,8068,8198,8032,8174,70098,73479
2020-02-20,202003,false,11820,11830,11679,11713,8231,8241,8090,8124,137132,74865
2020-02-21,202003,false,11665,11765,11636,11663,8076,8176,8047,8074,139432,75344
2020-02-24,202003,false,11509,11587,11476,11511,7920,7998,7887,7922,136123,79312
2020-02-25,202003,false,11400,11561,11386,11541,7811,7972,7797,7952,148777,81168
2020-02-26,202003,false,11383,11482,11365,11421,7794,7893,7776,7832,162698,80774
2020-02-27,202003,false,11395,11447,11237,11276,7806,7858,7648,7687,168661,82289
2020-03-02,202003,false,11011,11278,11005,11176,7422,7689,7416,7587,203861,85979
2020-03-03,202003,false,11313,11375,11278,11321,7724,7786,7689,7732,165499,81816
2020-03-04,202003,false,11348,11369,11267,11358,7759,7780,7678,7769,142617,83414
2020-03-05,202003,false,11450,11501,11428,11491,7861,7912,7839,7902,112997,88673
2020-03-06,202003,false,11400,11420,11260,11269,7811,7831,7671,7680,154698,86748
2020-03-09,202003,false,10975,11108,10916,10951,7386,7519,7327,7362,213069,85921
2020-03-10,202003,false,10830,10996,10779,10981,7241,7407,7190,7392,209076,83209
2020-03-11,202003,false,10979,11029,10807,10824,7390,7440,7218,7235,183871,83903
2020-03-12,202003,false,10750,10765,10161,10362,7161,7176,6572,6773,331510,91379
2020-03-13,202003,false,9749,10147,9450,10027,6160,6558,5861,6438,348943,94984
2020-03-16,202003,false,9919,10055,9636,9679,6330,6466,6047,6090,260020,70351
2020-03-17,202004,true,9200,9557,9156,9205,5777,6134,5733,5782,66897,75028
