date,contract_month,roll_day,open,high,low,close,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,open_interest
2020-01-02,202001,false,12044,12120,12023,12101,8439,8515,8418,8496,100401,87608
2020-01-03,202001,false,12180,12198,11996,12087,8575,8593,8391,8482,172660,85123
2020-01-06,202001,false,12017,12034,11948,11949,8412,8429,8343,8344,118380,86049
2020-01-07,202001,false,11995,12009,11816,11871,8390,8404,8211,8266,157264,82993
2020-01-08,202001,false,11728,11892,11697,11788,8123,8287,8092,8183,158971,81175
2020-01-09,202001,false,11919,11998,11883,11969,8314,8393,8278,8364,115014,80949
2020-01-10,202001,false,12005,12042,11953,12011,8400,8437,8348,8406,114171,72684
2020-01-13,202001,false,12085,12121,12044,12116,8480,8516,8439,8511,142642,58810
2020-01-14,202002,true,12156,12171,12122,12155,8577,8592,8543,8576,37503,61784
2020-01-15,202002,false,12139,12148,12042,12054,8560,8569,8463,8475,65151,76515
2020-01-16,202002,false,12040,12078,11990,12052,8461,8499,8411,8473,106272,78587
2020-01-17,202002,false,12103,12118,12029,12071,8524,8539,8450,8492,101199,77466
2020-01-20,202002,false,12119,12160,12097,12111,8540,8581,8518,8532,77557,77182
2020-01-30,202002,false,11770,11798,11366,11372,8191,8219,7787,7793,248664,86323
2020-01-31,202002,false,11460,11567,11407,11469,7881,7988,7828,7890,154361,84049
2020-02-03,202002,false,11285,11370,11152,11324,7706,7791,7573,7745,206381,84916
2020-02-04,202002,false,11373,11557,11362,11534,7794,7978,7783,7955,145462,81907
2020-02-05,202002,false,11603,11620,11474,11542,8024,8041,7895,7963,155144,80299
2020-02-06,202002,false,11651,11744,11628,11739,8072,8165,8049,8160,122911,81655
2020-02-07,202002,false,11660,11666,11566,11589,8081,8087,7987,8010,125747,76980
2020-02-10,202002,false,11455,11598,11402,11565,7876,8019,7823,7986,147183,77151
2020-02-11,202002,false,11625,11689,11613,11664,8046,8110,8034,8085,92406,75559
2020-02-12,202002,false,11663,11797,11647,11770,8084,8218,8068,8191,105501,79401
2020-02-13,202002,false,11798,11837,11762,11775,8219,8258,8183,8196,110031,77110
2020-02-14,202002,false,11757,11852,11755,11810,8178,8273,8176,8231,102988,72508
2020-02-17,202002,false,11710,11792,11702,11769,8131,8213,8123,8190,109882,56156
2020-02-18,202003,true,11699,11699,11610,11629,8131,8131,8042,8061,46058,65152
2020-02-19,202003,false,11657,11787,11621,11763,8089,8219,8053,8195,70098,73479
