date,contract,contract_month,session,open,high,low,last,change,change_percent,volume,settlement_price,open_interest,best_bid,best_ask,historical_high,historical_low
2020-01-02,TX,202001,Regular,12044,12120,12023,12102,108,0.9,100401,12101,87608,12101,12102,12125,11070
2020-01-02,TX,202001,After-Hours,11996,12024,11965,12024,30,0.25,22506,,,12022,12024,12125,11070
2020-01-02,TX,202002,Regular,12038,12107,12013,12092,108,0.9,1756,12091,2806,12089,12091,12111,11383
2020-01-02,TX,202002,After-Hours,11985,12012,11955,12012,28,0.23,292,,,12010,12012,12111,11383
2020-01-02,TX,202003,Regular,12014,12088,11998,12070,104,0.87,172,12070,2441,12071,12074,12092,9756
2020-01-02,TX,202003,After-Hours,11950,11993,11940,11993,27,0.23,53,,,11993,11996,12092,9756
2020-01-02,TX,202006,Regular,11971,12035,11971,12024,105,0.88,46,12024,836,12020,12024,12036,9919
2020-01-02,TX,202006,After-Hours,11920,11932,11919,11932,13,0.11,17,,,11942,11948,12036,9919
2020-01-02,TX,202009,Regular,11602,11670,11581,11655,106,0.92,86,11655,595,11652,11657,11670,10270
2020-01-02,TX,202009,After-Hours,11537,11558,11527,11558,9,0.08,14,,,11575,11581,11660,10270
2020-01-02,TX,202012,Regular,11560,11623,11535,11601,101,0.88,46,11601,140,11602,11608,11623,11462
2020-01-02,TX,202012,After-Hours,11475,11528,11475,11528,28,0.24,6,,,11525,11529,11611,11462
2020-01-03,TX,202001,Regular,12180,12198,11996,12086,-15,-0.12,172660,12087,85123,12086,12088,12198,11070
2020-01-03,TX,202001,After-Hours,12099,12172,12093,12172,71,0.59,32214,,,12171,12172,12172,11070
2020-01-03,TX,202002,Regular,12170,12183,11986,12075,-16,-0.13,3483,12075,3391,12073,12076,12183,11383
2020-01-03,TX,202002,After-Hours,12085,12158,12081,12157,66,0.55,651,,,12158,12160,12158,11383
2020-01-03,TX,202003,Regular,12149,12166,11970,12061,-9,-0.07,337,12061,2541,12055,12060,12166,9756
2020-01-03,TX,202003,After-Hours,12068,12141,12067,12138,68,0.56,121,,,12140,12144,12141,9756
2020-01-03,TX,202006,Regular,12100,12115,11924,12011,-13,-0.11,202,12011,869,12005,12009,12115,9919
2020-01-03,TX,202006,After-Hours,12023,12080,12023,12076,52,0.43,17,,,12090,12094,12080,9919
2020-01-03,TX,202009,Regular,11736,11739,11560,11634,-21,-0.18,95,11634,588,11637,11643,11739,10270
2020-01-03,TX,202009,After-Hours,11655,11718,11649,11718,63,0.54,91,,,11721,11725,11718,10270
2020-01-03,TX,202012,Regular,11677,11688,11510,11592,-9,-0.08,65,11592,163,11588,11594,11688,11462
2020-01-03,TX,202012,After-Hours,11613,11667,11613,11667,66,0.57,21,,,11671,11676,11667,11462
2020-01-06,TX,202001,Regular,12017,12034,11948,11950,-137,-1.13,118380,11949,86049,11950,11951,12198,11070
2020-01-06,TX,202001,After-Hours,12092,12094,12035,12043,-44,-0.36,36868,,,12042,12044,12198,11070
2020-01-06,TX,202002,Regular,12015,12022,11937,11937,-138,-1.14,2095,11938,3796,11938,11940,12183,11383
2020-01-06,TX,202002,After-Hours,12075,12079,12025,12034,-41,-0.34,604,,,12032,12034,12183,11383
2020-01-06,TX,202003,Regular,12001,12001,11923,11923,-138,-1.14,207,11923,2656,11922,11925,12166,9756
2020-01-06,TX,202003,After-Hours,12055,12058,12010,12020,-41,-0.34,69,,,12014,12017,12166,9756
2020-01-06,TX,202006,Regular,11940,11954,11878,11878,-133,-1.11,81,11878,905,11875,11879,12115,9919
2020-01-06,TX,202006,After-Hours,12008,12008,11965,11965,-46,-0.38,50,,,11965,11971,12115,9919
2020-01-06,TX,202009,Regular,11572,11583,11511,11511,-123,-1.06,76,11511,601,11506,11510,11739,10270
2020-01-06,TX,202009,After-Hours,11635,11635,11594,11596,-38,-0.33,29,,,11596,11601,11739,10270
