roll_method,stop_scenario,cost_scenario,leverage_scenario,held_days,return_pct,sharpe,max_dd_pct,margin_calls,injected_capital
fixed,none,low,aggressive_1.2x_margin,1459,1847.14,0.94,676.44,8,672822.32
fixed,none,low,moderate_2x_margin,1459,1108.28,0.94,405.87,7,525622.32
fixed,none,low,conservative_4x_margin,1459,554.14,0.94,202.93,1,157622.32
fixed,none,medium,aggressive_1.2x_margin,1459,1839.20,0.94,677.42,8,673662.32
fixed,none,medium,moderate_2x_margin,1459,1103.52,0.94,406.45,7,526462.32
fixed,none,medium,conservative_4x_margin,1459,551.76,0.94,203.23,1,158462.32
fixed,none,high,aggressive_1.2x_margin,1459,1809.45,0.92,681.09,8,676812.32
fixed,none,high,moderate_2x_margin,1459,1085.67,0.92,408.65,7,529612.32
fixed,none,high,conservative_4x_margin,1459,542.83,0.92,204.33,2,161612.32
fixed,trail_5pct,low,aggressive_1.2x_margin,14,-64.00,-3.71,71.00,1,104511.13
fixed,trail_5pct,low,moderate_2x_margin,14,-38.40,-3.71,42.60,0,0.00
fixed,trail_5pct,low,conservative_4x_margin,14,-19.20,-3.71,21.30,0,0.00
fixed,trail_5pct,medium,aggressive_1.2x_margin,14,-64.22,-3.72,71.06,1,104991.13
fixed,trail_5pct,medium,moderate_2x_margin,14,-38.53,-3.72,42.63,0,0.00
fixed,trail_5pct,medium,conservative_4x_margin,14,-19.27,-3.72,21.32,0,0.00
fixed,trail_5pct,high,aggressive_1.2x_margin,14,-65.03,-3.76,71.26,1,106791.13
fixed,trail_5pct,high,moderate_2x_margin,14,-39.02,-3.76,42.76,0,0.00
fixed,trail_5pct,high,conservative_4x_margin,14,-19.51,-3.76,21.38,0,0.00
fixed,trail_10pct,low,aggressive_1.2x_margin,34,-71.86,-2.27,78.86,1,104335.64
fixed,trail_10pct,low,moderate_2x_margin,34,-43.12,-2.27,47.32,0,0.00
fixed,trail_10pct,low,conservative_4x_margin,34,-21.56,-2.27,23.66,0,0.00
fixed,trail_10pct,medium,aggressive_1.2x_margin,34,-72.18,-2.28,79.03,1,104695.64
fixed,trail_10pct,medium,moderate_2x_margin,34,-43.31,-2.28,47.42,0,0.00
fixed,trail_10pct,medium,conservative_4x_margin,34,-21.66,-2.28,23.71,0,0.00
fixed,trail_10pct,high,aggressive_1.2x_margin,34,-73.41,-2.31,79.64,1,106045.64
fixed,trail_10pct,high,moderate_2x_margin,34,-44.04,-2.31,47.78,0,0.00
fixed,trail_10pct,high,conservative_4x_margin,34,-22.02,-2.31,23.89,0,0.00
fixed,trail_15pct,low,aggressive_1.2x_margin,42,-112.80,-2.89,119.80,2,186688.68
fixed,trail_15pct,low,moderate_2x_margin,42,-67.68,-2.89,71.88,1,65061.97
fixed,trail_15pct,low,conservative_4x_margin,42,-33.84,-2.89,35.94,0,0.00
fixed,trail_15pct,medium,aggressive_1.2x_margin,42,-113.13,-2.90,119.97,2,187288.68
fixed,trail_15pct,medium,moderate_2x_margin,42,-67.88,-2.90,71.98,1,65781.97
fixed,trail_15pct,medium,conservative_4x_margin,42,-33.94,-2.90,35.99,0,0.00
fixed,trail_15pct,high,aggressive_1.2x_margin,42,-114.35,-2.93,120.58,2,189538.68
fixed,trail_15pct,high,moderate_2x_margin,42,-68.61,-2.93,72.35,1,68481.97
fixed,trail_15pct,high,conservative_4x_margin,42,-34.30,-2.93,36.17,0,0.00
volume,none,low,aggressive_1.2x_margin,1459,1847.14,0.94,676.44,8,672822.32
volume,none,low,moderate_2x_margin,1459,1108.28,0.94,405.87,7,525622.32
volume,none,low,conservative_4x_margin,1459,554.14,0.94,202.93,1,157622.32
volume,none,medium,aggressive_1.2x_margin,1459,1839.20,0.94,677.42,8,673662.32
volume,none,medium,moderate_2x_margin,1459,1103.52,0.94,406.45,7,526462.32
volume,none,medium,conservative_4x_margin,1459,551.76,0.94,203.23,1,158462.32
volume,none,high,aggressive_1.2x_margin,1459,1809.45,0.92,681.09,8,676812.32
volume,none,high,moderate_2x_margin,1459,1085.67,0.92,408.65,7,529612.32
volume,none,high,conservative_4x_margin,1459,542.83,0.92,204.33,2,161612.32
volume,trail_5pct,low,aggressive_1.2x_margin,14,-64.00,-3.71,71.00,1,104511.13
volume,trail_5pct,low,moderate_2x_margin,14,-38.40,-3.71,42.60,0,0.00
volume,trail_5pct,low,conservative_4x_margin,14,-19.20,-3.71,21.30,0,0.00
volume,trail_5pct,medium,aggressive_1.2x_margin,14,-64.22,-3.72,71.06,1,104991.13
volume,trail_5pct,medium,moderate_2x_margin,14,-38.53,-3.72,42.63,0,0.00
volume,trail_5pct,medium,conservative_4x_margin,14,-19.27,-3.72,21.32,0,0.00
volume,trail_5pct,high,aggressive_1.2x_margin,14,-65.03,-3.76,71.26,1,106791.13
volume,trail_5pct,high,moderate_2x_margin,14,-39.02,-3.76,42.76,0,0.00
volume,trail_5pct,high,conservative_4x_margin,14,-19.51,-3.76,21.38,0,0.00
volume,trail_10pct,low,aggressive_1.2x_margin,34,-71.86,-2.27,78.86,1,104335.64
volume,trail_10pct,low,moderate_2x_margin,34,-43.12,-2.27,47.32,0,0.00
volume,trail_10pct,low,conservative_4x_margin,34,-21.56,-2.27,23.66,0,0.00
volume,trail_10pct,medium,aggressive_1.2x_margin,34,-72.18,-2.28,79.03,1,104695.64
volume,trail_10pct,medium,moderate_2x_margin,34,-43.31,-2.28,47.42,0,0.00
volume,trail_10pct,medium,conservative_4x_margin,34,-21.66,-2.28,23.71,0,0.00
volume,trail_10pct,high,aggressive_1.2x_margin,34,-73.41,-2.31,79.64,1,106045.64
volume,trail_10pct,high,moderate_2x_margin,34,-44.04,-2.31,47.78,0,0.00
volume,trail_10pct,high,conservative_4x_margin,34,-22.02,-2.31,23.89,0,0.00
volume,trail_15pct,low,aggressive_1.2x_margin,42,-112.80,-2.89,119.80,2,186688.68
volume,trail_15pct,low,moderate_2x_margin,42,-67.68,-2.89,71.88,1,65061.97
volume,trail_15pct,low,conservative_4x_margin,42,-33.84,-2.89,35.94,0,0.00
volume,trail_15pct,medium,aggressive_1.2x_margin,42,-113.13,-2.90,119.97,2,187288.68
volume,trail_15pct,medium,moderate_2x_margin,42,-67.88,-2.90,71.98,1,65781.97
volume,trail_15pct,medium,conservative_4x_margin,42,-33.94,-2.90,35.99,0,0.00
volume,trail_15pct,high,aggressive_1.2x_margin,42,-114.35,-2.93,120.58,2,189538.68
volume,trail_15pct,high,moderate_2x_margin,42,-68.61,-2.93,72.35,1,68481.97
volume,trail_15pct,high,conservative_4x_margin,42,-34.30,-2.93,36.17,0,0.00
oi,none,low,aggressive_1.2x_margin,1459,1845.24,0.94,676.44,8,672822.32
oi,none,low,moderate_2x_margin,1459,1107.14,0.94,405.87,7,525622.32
oi,none,low,conservative_4x_margin,1459,553.57,0.94,202.93,1,157622.32
oi,none,medium,aggressive_1.2x_margin,1459,1837.30,0.94,677.42,8,673662.32
oi,none,medium,moderate_2x_margin,1459,1102.38,0.94,406.45,7,526462.32
oi,none,medium,conservative_4x_margin,1459,551.19,0.94,203.23,1,158462.32
oi,none,high,aggressive_1.2x_margin,1459,1807.55,0.92,681.09,8,676812.32
oi,none,high,moderate_2x_margin,1459,1084.53,0.92,408.65,7,529612.32
oi,none,high,conservative_4x_margin,1459,542.26,0.92,204.33,2,161612.32
oi,trail_5pct,low,aggressive_1.2x_margin,14,-64.00,-3.71,71.00,1,104511.13
oi,trail_5pct,low,moderate_2x_margin,14,-38.40,-3.71,42.60,0,0.00
oi,trail_5pct,low,conservative_4x_margin,14,-19.20,-3.71,21.30,0,0.00
oi,trail_5pct,medium,aggressive_1.2x_margin,14,-64.22,-3.72,71.06,1,104991.13
