roll_method,stop_scenario,cost_scenario,held_days,total_points,sharpe,max_dd_points,total_cost_points
fixed,none,low,1459,20392.42,0.94,7467.95,146.58
fixed,none,medium,1459,20304.82,0.94,7478.75,234.18
fixed,none,high,1459,19976.32,0.92,7519.25,562.68
fixed,trail_5pct,low,14,-706.56,-3.71,783.88,3.56
fixed,trail_5pct,medium,14,-708.96,-3.72,784.48,5.96
fixed,trail_5pct,high,14,-717.96,-3.76,786.73,14.96
fixed,trail_10pct,low,34,-793.32,-2.27,870.64,5.32
fixed,trail_10pct,medium,34,-796.92,-2.28,872.44,8.92
fixed,trail_10pct,high,34,-810.42,-2.31,879.19,22.42
fixed,trail_15pct,low,42,-1245.31,-2.89,1322.63,5.31
fixed,trail_15pct,medium,42,-1248.91,-2.90,1324.43,8.91
fixed,trail_15pct,high,42,-1262.41,-2.93,1331.18,22.41
volume,none,low,1459,20392.42,0.94,7467.95,146.58
volume,none,medium,1459,20304.82,0.94,7478.75,234.18
volume,none,high,1459,19976.32,0.92,7519.25,562.68
volume,trail_5pct,low,14,-706.56,-3.71,783.88,3.56
volume,trail_5pct,medium,14,-708.96,-3.72,784.48,5.96
volume,trail_5pct,high,14,-717.96,-3.76,786.73,14.96
volume,trail_10pct,low,34,-793.32,-2.27,870.64,5.32
volume,trail_10pct,medium,34,-796.92,-2.28,872.44,8.92
volume,trail_10pct,high,34,-810.42,-2.31,879.19,22.42
volume,trail_15pct,low,42,-1245.31,-2.89,1322.63,5.31
volume,trail_15pct,medium,42,-1248.91,-2.90,1324.43,8.91
volume,trail_15pct,high,42,-1262.41,-2.93,1331.18,22.41
oi,none,low,1459,20371.43,0.94,7467.95,146.57
oi,none,medium,1459,20283.83,0.94,7478.75,234.17
oi,none,high,1459,19955.33,0.92,7519.25,562.67
oi,trail_5pct,low,14,-706.56,-3.71,783.88,3.56
oi,trail_5pct,medium,14,-708.96,-3.72,784.48,5.96
oi,trail_5pct,high,14,-717.96,-3.76,786.73,14.96
oi,trail_10pct,low,34,-793.32,-2.27,870.64,5.32
oi,trail_10pct,medium,34,-796.92,-2.28,872.44,8.92
oi,trail_10pct,high,34,-810.42,-2.31,879.19,22.42
oi,trail_15pct,low,42,-1245.31,-2.89,1322.63,5.31
oi,trail_15pct,medium,42,-1248.91,-2.90,1324.43,8.91
oi,trail_15pct,high,42,-1262.41,-2.93,1331.18,22.41
