month,0.75x_net_pnl,0.75x_monthly_return_pct,1.00x_net_pnl,1.00x_monthly_return_pct,1.25x_net_pnl,1.25x_monthly_return_pct,1.50x_net_pnl,1.50x_monthly_return_pct,TAIEX_net_pnl,TAIEX_monthly_return_pct
2021-01,11866,1.187,15822,1.582,19777,1.978,23733,2.373,15859,1.586
2021-02,59614,4.775,79486,6.366,99357,7.958,119228,9.550,70583,5.472
2021-03,87442,2.783,116590,3.710,145737,4.638,174885,5.566,104167,3.358
2021-04,148248,6.081,197664,8.107,247079,10.134,296495,12.161,181076,7.691
2021-05,123027,-2.522,164036,-3.363,205045,-4.203,246054,-5.044,147640,-3.344
2021-06,164519,4.149,219358,5.532,274198,6.915,329037,8.298,197120,4.948
2021-07,148423,-1.610,197897,-2.146,247371,-2.683,296846,-3.219,173325,-2.380
2021-08,167980,1.956,223974,2.608,279967,3.260,335961,3.912,200269,2.694
2021-09,143715,-2.427,191620,-3.235,239525,-4.044,287430,-4.853,165895,-3.437
2021-10,146329,0.261,195105,0.348,243881,0.436,292657,0.523,169666,0.377
2021-11,166388,2.006,221851,2.675,277313,3.343,332776,4.012,200029,3.036
2021-12,213527,4.714,284703,6.285,355878,7.857,427054,9.428,256179,5.615
2022-01,185781,-2.775,247707,-3.700,309634,-4.624,371561,-5.549,218731,-3.745
2022-02,186677,0.090,248903,0.120,311129,0.149,373355,0.179,217292,-0.144
2022-03,190501,0.382,254001,0.510,317502,0.637,381002,0.765,222520,0.523
2022-04,138804,-5.170,185072,-6.893,231341,-8.616,277609,-10.339,147081,-7.544
2022-05,146008,0.720,194678,0.961,243347,1.201,292017,1.441,162103,1.502
2022-06,64966,-8.104,86621,-10.806,108277,-13.507,129932,-16.208,41258,-12.084
2022-07,88461,2.349,117948,3.133,147435,3.916,176922,4.699,73379,3.212
2022-08,96221,0.776,128294,1.035,160368,1.293,192441,1.552,86111,1.273
2022-09,14475,-8.175,19299,-10.899,24124,-13.624,28949,-16.349,-31602,-11.771
2022-10,-7361,-2.184,-9815,-2.911,-12269,-3.639,-14723,-4.367,-65811,-3.421
2022-11,89706,9.707,119609,12.942,149511,16.178,179413,19.414,73440,13.925
2022-12,57430,-3.228,76573,-4.304,95717,-5.379,114860,-6.455,21559,-5.188
2023-01,115164,5.773,153552,7.698,191940,9.622,230328,11.547,103048,8.149
2023-02,129428,1.426,172571,1.902,215714,2.377,258857,2.853,120292,1.724
2023-03,148888,1.946,198517,2.595,248146,3.243,297775,3.892,149354,2.906
2023-04,134963,-1.392,179951,-1.857,224938,-2.321,269926,-2.785,129342,-2.001
2023-05,184072,4.911,245430,6.548,306787,8.185,368145,9.822,202041,7.270
2023-06,207915,2.384,277220,3.179,346526,3.974,415831,4.769,243876,4.183
2023-07,226211,1.830,301615,2.439,377018,3.049,452422,3.659,274108,3.023
2023-08,202855,-2.336,270474,-3.114,338092,-3.893,405711,-4.671,241465,-3.264
2023-09,189181,-1.367,252242,-1.823,315302,-2.279,378363,-2.735,223101,-1.836
2023-10,169153,-2.003,225538,-2.670,281922,-3.338,338307,-4.006,196796,-2.630
2023-11,238381,6.923,317841,9.230,397301,11.538,476761,13.845,303979,10.718
2023-12,262928,2.455,350571,3.273,438214,4.091,525857,4.910,343174,3.919
2024-01,263877,0.095,351835,0.126,439794,0.158,527753,0.190,341039,-0.214
2024-02,315703,5.183,420937,6.910,526171,8.638,631406,10.365,421788,8.075
2024-03,381041,6.534,508055,8.712,635069,10.890,762083,13.068,524526,10.274
2024-04,385918,0.488,514557,0.650,643196,0.813,771835,0.975,533347,0.882
2024-05,429722,4.380,572962,5.841,716203,7.301,859443,8.761,591921,5.857
2024-06,520621,9.090,694161,12.120,867701,15.150,1041242,18.180,739708,14.779
2024-07,485248,-3.537,646998,-4.716,808747,-5.895,970497,-7.074,693869,-4.584
2024-08,488405,0.316,651207,0.421,814009,0.526,976810,0.631,704371,1.050
2024-09,487680,-0.072,650241,-0.097,812801,-0.121,975361,-0.145,704449,0.008
2024-10,513477,2.580,684636,3.440,855795,4.299,1026954,5.159,750168,4.572
2024-11,480981,-3.250,641308,-4.333,801636,-5.416,961963,-6.499,707430,-4.274
2024-12,514645,3.366,686194,4.489,857742,5.611,1029290,6.733,769404,6.197
2025-01,543469,2.882,724625,3.843,905781,4.804,1086937,5.765,808220,3.882
2025-02,517728,-2.574,690304,-3.432,862881,-4.290,1035457,-5.148,771922,-3.630
2025-03,394163,-12.357,525550,-16.475,656938,-20.594,788325,-24.713,594338,-17.758
2025-04,364043,-3.012,485391,-4.016,606738,-5.020,728086,-6.024,559275,-3.506
2025-05,426756,6.271,569008,8.362,711260,10.452,853512,12.543,645287,8.601
2025-06,487048,6.029,649397,8.039,811747,10.049,974096,12.058,730775,8.549
2025-07,566299,7.925,755065,10.567,943831,13.208,1132597,15.850,850696,11.992
2025-08,603540,3.724,804721,4.966,1005901,6.207,1207081,7.448,909642,5.895
2025-09,687828,8.429,917104,11.238,1146380,14.048,1375655,16.857,1039263,12.962
2025-10,810286,12.246,1080381,16.328,1350477,20.410,1620572,24.492,1229871,19.061
2025-11,774757,-3.553,1033009,-4.737,1291261,-5.922,1549513,-7.106,1181946,-4.792
2025-12,834188,5.943,1112250,7.924,1390313,9.905,1668376,11.886,1290902,10.896
